vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v1230,r2319,Honoo no Haramase Doukyuusei,18,10-30 h,8.000,t,t
v1240,r2331,True World ~Shinjitsu no Sekai~,0,0-2 h,0.750,t,f
v1241,r2333,Kamaitachi no Yoru,0,10-30 h,15.651,f,f
v1245,r5538,Himitsu Seikatsu ~Hitotsu Yane no Shita~,18,10-30 h,20.000,f,f
v1248,r2346,Konayuki Fururi ~Yuzuhara-chou Curling-bu~,18,10-30 h,21.733,f,f
v1268,r2368,Gibomai ~Haitoku no Kyouen~,18,10-30 h,20.000,t,f
v1269,r2370,Mei Shoujo,18,Unknown,21.000,f,t
v1271,r2379,Seirei Gari,0,2-10 h,2.000,f,f
v1272,r25983,Pure Pure,0,10-30 h,28.000,f,f
v1278,r2389,Saihate no Ima,18,30-50 h,53.013,f,f
v1280,r2395,AS~Angelic Serenade,0,10-30 h,16.913,f,f
v1281,r2401,Amagami,15,30-50 h,54.904,t,f
v1284,r2422,Memories Off ~Pure~,0,2-10 h,4.500,f,f
v1285,r24334,Maple Colors 2,18,Unknown,33.250,f,f
v1286,r6338,"eden* They were only two, on the planet.",0,2-10 h,10.796,f,f
v1290,r2465,Negaeba Kitto...,0,0-2 h,0.264,f,f
v1291,r2467,May Queen ~Kotori Afterwards~,18,0-2 h,10.200,f,t
v1292,r2488,Ryoujoku Soukan Zu ~Kyousei Ninshin Seieki Jigoku~,18,2-10 h,3.386,f,t
v1295,r2477,Missing Blue,0,50+ h,112.850,f,f
v1296,r2486,Tsuki no Terasu,0,0-2 h,1.047,f,f
v1298,r7325,Tegami,0,0-2 h,1.633,f,f
v1299,r2498,428 ~Fuusa Sareta Shibuya de~,15,30-50 h,33.870,t,f
v1303,r2531,Yandere,18,2-10 h,5.621,f,t
v1305,r2982,SNATCHER,0,2-10 h,7.208,f,f
v1306,r2540,"BALDR SKY Dive1 ""Lost Memory""",18,50+ h,54.428,f,f
v1307,r2541,Akatsuki no Goei ~Principal-tachi no Kyuujitsu~,18,10-30 h,13.728,f,f
v1308,r14759,DEVILS DEVEL CONCEPT,18,30-50 h,29.000,f,f
v1310,r22811,Dyogrammaton,18,10-30 h,33.000,t,f
v1311,r2574,Shakunetsu Hime,0,0-2 h,0.265,f,f
v1312,r13253,Eisai Kyouiku,18,Unknown,10.361,t,f
v1314,r4869,"Lime Iro Senkitan ~Meiji Nippon, Otome Sakimorisu.~",18,30-50 h,10.000,t,f
v1315,r2558,Konneko,18,Unknown,62.000,f,f
v1316,r2562,Mahoutsukai to Goshujin-sama ~Wizard and the Master~,0,30-50 h,45.167,f,f
v1319,r2565,Shinju no Yakata,18,10-30 h,15.817,f,f
v1320,r2566,Neko Kawaigari! ~Crane Inuneko Byouin Shinsatsuchuu~,18,10-30 h,9.410,f,t
v1321,r2567,Meri☆Chri ~Juu Nen Buri no White Christmas~,18,2-10 h,10.788,f,f
v1322,r3725,Tenshin Ranman Lucky or Unlucky!?,18,30-50 h,48.599,f,f
v1323,r2880,echo.,0,2-10 h,11.000,f,f
v1324,r26398,Akibakei Kanojo,18,10-30 h,17.317,t,f
v1325,r2571,Memories Off #5 Togireta Film,15,Unknown,28.440,t,f
v1326,r2572,Memories Off #5 Encore,12,Unknown,8.867,f,f
